source,food_id,name_local,name_en,lang,category,serving_basis,energy_kcal,protein_g,phosphorus_mg,potassium_mg,sodium_mg,notes
,E7400301,粉柿番茄,,zh-TW,蔬菜類,100g,17.9897,0.771,18.8542,184.1393,2.152,
,E7400302,黑柿番茄,,zh-TW,蔬菜類,100g,23.3283,0.42,18.584,189.415,1.218,
,E7400303,綠番茄,,zh-TW,蔬菜類,100g,24.5658,0.9475,20.5757,210.4023,5.8989,
,00E74004,小番茄平均值(紅色系),,zh-TW,蔬菜類,100g,32.6934,0.9208,24.0079,268.7981,5.877,
,E7400401,聖女小番茄,,zh-TW,蔬菜類,100g,33.8335,1.1085,25.9244,200.0246,9.5191,
,E7400402,試交二號小番茄,,zh-TW,蔬菜類,100g,29.9358,0.736,23.8265,270.8249,2.5326,
,E7400403,櫻桃小番茄,,zh-TW,蔬菜類,100g,34.3111,0.918,22.2728,335.5449,5.5793,
,E7400501,黃金小蕃茄,,zh-TW,蔬菜類,100g,30.5688,0.813,25.341,390.451,3.091,
,00E74006,小番茄平均值(橙色系),,zh-TW,蔬菜類,100g,31.0774,1.1123,17.6133,247.4032,3.5982,
,E7400601,金女小番茄,,zh-TW,蔬菜類,100g,29.9058,1.099,17.81,282.694,4.464,
,E7400602,黃金聖女小番茄,,zh-TW,蔬菜類,100g,30.8959,0.999,20.736,251.9635,3.2625,
,E7400603,橙蕃茄,,zh-TW,蔬菜類,100g,32.4305,1.239,14.294,207.552,3.068,
,E7400701,香瓜茄,,zh-TW,蔬菜類,100g,25.9595,0.44,9.44,130.931,2.609,
,00E75001,甜椒平均值(青皮),,zh-TW,蔬菜類,100g,29.405,1.0324,24.6771,196.339,2.1545,
,E7500101,甜椒(青皮),,zh-TW,蔬菜類,100g,23.34,0.7873,19.3157,144.0147,4.2443,
,E7500102,小甜椒(青皮),,zh-TW,蔬菜類,100g,34.5107,1.442,25.3717,210.6544,0.3173,
,E7500103,高山甜椒(青皮),,zh-TW,蔬菜類,100g,30.3643,0.868,29.344,234.348,1.902,
,E7500201,甜椒(紅皮),,zh-TW,蔬菜類,100g,33.4918,0.834,21.91,188.97,0.73,
,E7500301,甜椒(黃皮),,zh-TW,蔬菜類,100g,28.091,0.826,19.77,192.18,0.6,
,E7500401,甜椒(橙皮),,zh-TW,蔬菜類,100g,34.5559,0.9225,26.8815,214.707,2.337,
,00E75005,青辣椒平均值,,zh-TW,蔬菜類,100g,32.9325,1.3443,26.903,222.8567,2.0127,
,E7500501,角椒,,zh-TW,蔬菜類,100g,22.1826,0.904,17.7128,183.9511,2.209,
,E7500502,長辣椒(青皮),,zh-TW,蔬菜類,100g,48.9903,1.889,31.8981,277.359,3.012,
,E7500503,糯米椒,,zh-TW,蔬菜類,100g,27.6246,1.24,31.098,207.26,0.817,
,00E75006,紅辣椒平均值,,zh-TW,蔬菜類,100g,80.4199,3.5632,75.8532,517.2132,6.4134,
,E7500601,長辣椒(紅皮),,zh-TW,蔬菜類,100g,48.387,2.3927,54.8249,361.2192,13.7187,
,E7500602,朝天椒(長果),,zh-TW,蔬菜類,100g,90.0771,3.391,88.6972,563.6172,3.1884,
,E7500603,朝天椒(圓果),,zh-TW,蔬菜類,100g,102.7955,4.906,84.0376,626.8033,2.3332,
,E7510101,乾長辣椒(紅皮),,zh-TW,蔬菜類,100g,382.0585,19.942,297.802,2016.51,39.762,
,E7600101,黃秋葵,,zh-TW,蔬菜類,100g,35.613,2.0565,53.1971,203.3799,9.4994,
,E7700101,青花菜芽,,zh-TW,蔬菜類,100g,34.6729,2.802,64.44,63.17,1.15,
,E7700201,苜蓿芽,,zh-TW,蔬菜類,100g,20.1213,3.215,48.4083,249.1157,64.8417,
,E7700301,紫甘藍芽,,zh-TW,蔬菜類,100g,32.0974,0.248,74.517,64.046,2.485,
,E7700401,黃豆芽,,zh-TW,蔬菜類,100g,47.0472,5.277,85.749,273.612,6.988,
,E7700402,"黃豆芽(有機,2023年取樣)",,zh-TW,蔬菜類,100g,40.9329,5.072,76.82,273.6,2.43,
,E7700501,黑豆芽,,zh-TW,蔬菜類,100g,51.5821,6.625,114.58,324.57,2.7,
,E7700601,葵花芽,,zh-TW,蔬菜類,100g,26.4237,2.547,59.6185,120.793,1.477,
,E7700701,綠豆芽,,zh-TW,蔬菜類,100g,23.8073,2.3453,32.3711,127.6026,16.2424,
,E7700801,豌豆芽,,zh-TW,蔬菜類,100g,25.4122,3.971,51.24,124.61,1.51,
,E7700901,蕎麥芽,,zh-TW,蔬菜類,100g,20.0241,1.866,60.1481,79.334,3.621,
,E7701001,蘿蔔芽,,zh-TW,蔬菜類,100g,23.5706,2.14,64.0887,101.872,6.846,
,E8700101,山蘇菜,,zh-TW,蔬菜類,100g,26.2878,2.967,50.8801,350.4295,5.3991,
,E8800101,火炭母草,,zh-TW,蔬菜類,100g,12.0412,1.6,22.0,540.0,26.0,
,E8900101,石蓮花,,zh-TW,蔬菜類,100g,10.561,0.385,11.8963,73.583,40.161,
,E9000101,青葙,,zh-TW,蔬菜類,100g,50.089,2.5,50.0,360.0,44.0,
,E9100101,假人蔘,,zh-TW,蔬菜類,100g,31.5362,1.64,28.0,330.0,17.0,
,E9200101,野苦瓜嫩梢,,zh-TW,蔬菜類,100g,76.5238,5.71,89.0,650.0,16.0,
,E9300101,過溝菜蕨,,zh-TW,蔬菜類,100g,27.3946,3.0975,70.2232,347.4019,6.2452,
,E9400101,蔘鬚,,zh-TW,蔬菜類,100g,330.1551,7.018,96.414,243.713,31.546,
,E9500101,龍骨瓣莕菜,,zh-TW,蔬菜類,100g,17.3803,1.093,20.75,228.672,110.653,
,E9600101,薄荷,,zh-TW,蔬菜類,100g,55.406,3.05,46.0,520.0,14.0,
,E9700101,蕺菜,,zh-TW,蔬菜類,100g,45.545,3.17,48.0,500.0,23.0,
,E9800101,蘆薈,,zh-TW,蔬菜類,100g,4.415,0.05,2.0,30.0,18.0,
,E9900101,皇宮菜,,zh-TW,蔬菜類,100g,21.7462,2.2,37.0,300.0,20.0,
,E9900201,香芫荽,,zh-TW,蔬菜類,100g,22.9932,2.4,47.0,230.0,74.0,
,E9900301,荷蘭豆菜心,,zh-TW,蔬菜類,100g,29.8365,3.9,84.0,320.0,9.0,
,E9900401,厥子,,zh-TW,蔬菜類,100g,22.7312,2.3,65.0,320.0,3.0,
,E9900501,義大利茼蒿,,zh-TW,蔬菜類,100g,14.8298,1.574,37.804,294.742,1.296,
,E9900601,龍延草,,zh-TW,蔬菜類,100g,78.755,3.89,123.0,780.0,22.0,
,E9900701,麵包果,,zh-TW,蔬菜類,100g,61.3168,0.973,19.29,269.47,1.72,
,E9900801,冰花,,zh-TW,蔬菜類,100g,6.9103,0.775,22.42,359.45,445.36,
,F0110101,紅毛苔,,zh-TW,藻類,100g,264.6622,39.932,829.389,4160.129,209.216,
,F0210101,紫菜,,zh-TW,藻類,100g,267.5053,28.05,477.6896,2753.5137,967.5087,
,F0210102,熟紫菜,,zh-TW,藻類,100g,294.1501,18.073,332.4812,1605.7785,516.8726,
,F0310101,髮菜,,zh-TW,藻類,100g,302.2322,10.274,72.9275,89.296,106.515,
,F0400101,麒麟菜,,zh-TW,藻類,100g,41.1567,0.95,42.4865,61.908,16.425,
,F0410101,乾麒麟菜,,zh-TW,藻類,100g,189.1532,1.197,5.512,567.41,14907.911,
,F0500101,礁膜,,zh-TW,藻類,100g,16.0285,0.2575,1.8312,18.5814,76.6977,
,F0610101,乾海茸芯,,zh-TW,藻類,100g,254.2605,8.425,301.8736,1673.2945,4196.4818,
,00F07001,海帶平均值,,zh-TW,藻類,100g,19.0392,0.7307,10.6979,6.4213,215.792,
,F0700101,海帶卷,,zh-TW,藻類,100g,14.0141,0.716,7.645,5.981,367.3885,
,F0700102,海帶茸,,zh-TW,藻類,100g,28.6693,1.052,17.9298,7.1294,207.7832,
,F0700103,海帶梗,,zh-TW,藻類,100g,13.6788,0.364,8.92,7.702,122.138,
,F0700104,海帶結,,zh-TW,藻類,100g,16.7364,0.7795,11.0704,7.4845,230.4373,
,F0700105,海帶絲,,zh-TW,藻類,100g,22.0973,0.742,7.9243,3.8098,151.2131,
,F0710101,乾海帶,,zh-TW,藻類,100g,219.9825,10.0465,424.1437,7489.3251,3152.5113,
,F0800101,裙帶菜,,zh-TW,藻類,100g,58.2528,4.963,108.81,503.88,9171.56,
,F0810101,乾裙帶菜,,zh-TW,藻類,100g,224.9262,22.917,355.1047,339.9088,8084.6455,
,F0810201,乾裙帶菜根,,zh-TW,藻類,100g,201.3949,6.178,208.0804,860.6057,10169.8473,
,F0910101,鳳尾藻,,zh-TW,藻類,100g,212.6893,11.684,210.256,3402.133,3957.265,
,F1000101,葛仙米藻,,zh-TW,藻類,100g,24.0828,1.321,2.81,12.19,13.5,
,F9900201,壽司海苔片,,zh-TW,藻類,100g,277.8906,46.458,862.531,2674.635,387.393,
,G0100101,木耳,,zh-TW,菇類,100g,37.9503,0.856,22.773,55.9233,12.1933,
,G0100201,冷凍木耳,,zh-TW,菇類,100g,50.9147,0.86,3.0,0.0,35.0,
,00G01101,乾木耳平均值,,zh-TW,菇類,100g,333.231,13.7708,442.9538,1469.5898,28.0173,
,G0110101,乾木耳(紅耳仔),,zh-TW,菇類,100g,328.7587,6.1495,97.5975,457.7395,44.0445,
,G0110102,乾木耳(黑耳仔),,zh-TW,菇類,100g,337.7033,21.392,788.31,2481.44,11.99,
,G0110201,乾川耳,,zh-TW,菇類,100g,335.952,8.954,329.13,1860.79,17.5,
,G0200101,銀耳,,zh-TW,菇類,100g,30.7147,1.079,54.4,361.82,5.4,
,G0200201,白毛木耳,,zh-TW,菇類,100g,44.8771,1.166,22.159,108.712,2.391,
,G0210101,乾銀耳,,zh-TW,菇類,100g,310.0816,9.2807,336.8243,2916.214,26.7937,
,G0300101,草菇,,zh-TW,菇類,100g,35.7491,3.8025,103.4,411.22,2.825,
,G0400101,雞腿菇,,zh-TW,菇類,100g,35.8226,2.121,98.488,448.905,10.533,
,G0410101,雞腿菇(乾),,zh-TW,菇類,100g,297.5585,20.138,872.1992,3716.412,72.576,
,G0500101,松茸,,zh-TW,菇類,100g,35.7479,3.146,62.088,201.169,1.024,
,G0600101,雪白菇(長),,zh-TW,菇類,100g,35.623,2.105,86.0385,285.1365,1.1705,
,G0700101,柳松菇,,zh-TW,菇類,100g,35.767,3.7043,112.45,334.3815,0.46,
,G0710101,乾柳松菇,,zh-TW,菇類,100g,285.7564,23.48,999.8451,3035.4677,5.8048,
,00G08001,香菇平均值,,zh-TW,菇類,100g,38.5079,3.0243,84.0141,277.0721,1.4764,
,G0800101,香菇(大),,zh-TW,菇類,100g,37.1935,3.0383,74.8334,243.3548,1.5823,
,G0800102,香菇(小),,zh-TW,菇類,100g,25.8774,2.4185,64.2855,229.4015,1.095,
,G0800103,花菇,,zh-TW,菇類,100g,52.4527,3.616,112.9233,358.46,1.752,
,00G08101,乾香菇平均值,,zh-TW,菇類,100g,320.9407,20.9261,556.3732,2015.7787,8.6843,
,G0810101,乾香菇,,zh-TW,菇類,100g,332.5605,23.3118,554.8296,1843.4983,14.824,
,G0810102,乾花菇,,zh-TW,菇類,100g,316.7305,17.0485,406.616,1855.009,4.4455,
,G0810103,乾白花菇,,zh-TW,菇類,100g,309.8967,18.714,646.91,2379.133,5.071,
,G0810104,乾鈕釦菇,,zh-TW,菇類,100g,324.575,24.63,617.1373,1985.4745,10.3965,
,G1000101,姬松茸,,zh-TW,菇類,100g,40.4188,4.0275,87.4954,272.292,1.4985,
,G1010101,乾姬松茸,,zh-TW,菇類,100g,293.6293,33.967,781.2669,2535.11,22.697,
,G1100101,酒杯菇,,zh-TW,菇類,100g,49.9389,4.583,89.308,293.192,1.298,
,G1200101,秀珍菇,,zh-TW,菇類,100g,27.5205,3.3377,80.5883,248.3783,0.7743,
,G1200201,天喜菇,,zh-TW,菇類,100g,25.8722,4.504,169.915,280.803,0.709,
,G1200301,白蠔菇,,zh-TW,菇類,100g,32.7085,2.16,97.689,219.363,1.144,
,G1200401,玫瑰菇,,zh-TW,菇類,100g,34.904,4.514,161.119,327.399,1.057,
,G1300101,杏香菇,,zh-TW,菇類,100g,26.2176,2.734,70.926,227.736,2.134,
,00G13002,杏鮑菇平均值,,zh-TW,菇類,100g,41.3127,2.7185,83.6255,271.9694,2.6007,
,G1300201,杏鮑菇(大),,zh-TW,菇類,100g,36.8808,2.4273,71.3697,247.0427,2.9983,
,G1300202,杏鮑菇(中),,zh-TW,菇類,100g,40.3456,2.4987,85.2032,275.377,1.5513,
,G1300203,杏鮑菇(小),,zh-TW,菇類,100g,46.7118,3.2295,94.3035,293.4885,3.2525,
,G1400301,珊瑚菇,,zh-TW,菇類,100g,32.6677,3.9995,132.6908,328.396,0.073,
,G1500101,蠔菇,,zh-TW,菇類,100g,26.1775,2.0533,73.4367,334.37,3.9333,
,G1500201,鮑魚菇,,zh-TW,菇類,100g,21.8883,1.689,15.87,340.69,1.98,
,G1600101,金針菇,,zh-TW,菇類,100g,37.3304,2.5873,90.251,385.2133,2.3883,
,G1600201,華翠菇,,zh-TW,菇類,100g,28.6648,2.494,83.966,341.49,1.323,
,G1700101,滑菇,,zh-TW,菇類,100g,26.6925,2.6285,68.1315,271.9165,1.789,
,G1800101,舞菇,,zh-TW,菇類,100g,27.5913,1.422,37.871,229.308,0.503,
,G1900101,鴻喜菇,,zh-TW,菇類,100g,29.5935,2.9157,85.1657,338.742,1.5267,
,G1900201,雪白菇,,zh-TW,菇類,100g,30.9028,2.154,80.43,361.21,0.85,
,G2000101,洋菇,,zh-TW,菇類,100g,24.9732,3.039,80.2228,334.2735,18.6435,
,G2000201,冷凍洋菇,,zh-TW,菇類,100g,38.7583,3.79,31.0,140.0,7.6,
,G2100101,白茯苓,,zh-TW,菇類,100g,315.7816,0.99,19.64,33.88,0.0,
,G2300101,猴頭菇,,zh-TW,菇類,100g,30.3773,2.065,57.195,314.42,2.22,
,G2310101,乾猴頭菇,,zh-TW,菇類,100g,311.1703,12.287,863.3476,3671.837,3.288,
,G2410101,乾竹笙,,zh-TW,菇類,100g,312.116,17.517,339.9695,2400.807,28.305,
,G9000101,松茸白菇,,zh-TW,菇類,100g,37.8902,5.073,95.18,348.327,0.955,
,G9000201,金喜菇,,zh-TW,菇類,100g,39.1662,2.74,54.127,228.324,4.762,
,G9000301,喜來菇,,zh-TW,菇類,100g,37.0486,3.539,135.299,361.653,0.684,
,G9000401,富珍茸,,zh-TW,菇類,100g,37.4175,2.999,66.753,215.224,0.601,
,00H01051,白鳳豆平均值,,zh-TW,豆類,100g,336.6138,23.768,399.7434,1272.5116,0.4786,
,H0105101,白鳳豆(台灣),,zh-TW,豆類,100g,347.9988,27.393,402.5245,1044.3351,0.7908,
,H0105102,白鳳豆(進口),,zh-TW,豆類,100g,325.2288,20.143,396.9623,1500.688,0.1664,
,H0205101,米豆,,zh-TW,豆類,100g,349.1321,21.7395,404.3575,1128.568,18.811,
,H0305101,花豆,,zh-TW,豆類,100g,328.4152,21.2243,440.5873,1156.229,11.0553,
,H0405101,紅豆,,zh-TW,豆類,100g,327.9899,20.922,441.8293,1202.7877,1.4963,
,H0505101,紅雲豆(大紅豆),,zh-TW,豆類,100g,327.607,20.186,546.822,1168.482,2.044,
,H0605101,青仁黑豆,,zh-TW,豆類,100g,384.7922,36.9788,529.1372,1631.8584,3.5066,
,H0605201,黃仁黑豆,,zh-TW,豆類,100g,253.1516,20.579,402.138,1439.358,0.75,
,H0610101,黑豆胚芽,,zh-TW,豆類,100g,185.0151,16.079,307.8,930.36,1.97,
,H0610201,烘烤黑豆,,zh-TW,豆類,100g,435.294,39.02,502.4,1430.0,320.4,
,H0620101,黑豆粉,,zh-TW,豆類,100g,430.962,36.0,467.2,1500.0,65.4,
,H0705101,毛綠豆,,zh-TW,豆類,100g,345.6951,22.138,439.1985,1213.94,2.5715,
,H0705102,綠豆,,zh-TW,豆類,100g,344.4722,22.7713,371.5253,948.4583,0.5747,
,H0710101,綠豆仁,,zh-TW,豆類,100g,338.5752,24.615,490.178,1046.9265,1.294,
,H0720101,綠豆粉,,zh-TW,豆類,100g,344.2899,21.74,359.0,1102.06,8.08,
,H0800101,豇豆(莢),,zh-TW,豆類,100g,34.5072,2.3514,39.2242,170.5988,1.7586,
,H0900101,萊豆仁(帶膜),,zh-TW,豆類,100g,112.3647,7.8297,127.9694,641.5533,3.0497,
,H0900201,萊豆仁(去膜),,zh-TW,豆類,100g,137.4046,7.403,138.54,851.21,1.7,
,H1000101,粉豆莢,,zh-TW,豆類,100g,27.0053,1.6605,39.8327,191.7555,7.2373,
,H1000201,敏豆莢,,zh-TW,豆類,100g,29.7036,1.746,37.1897,192.79,3.744,
,H1000301,冷凍菜豆(莢),,zh-TW,豆類,100g,56.8299,3.404,48.7944,281.7355,2.4424,
,H1100101,毛豆仁,,zh-TW,豆類,100g,129.3,14.6025,202.5589,654.421,1.076,
,H1100201,毛豆莢(高雄13號),,zh-TW,豆類,100g,136.8106,11.6,172.21,570.8,1.28,
,H1100301,冷凍毛豆仁,,zh-TW,豆類,100g,134.6591,12.468,166.1624,304.4547,358.8593,
,H1105101,黃豆,,zh-TW,豆類,100g,388.8861,35.615,444.92,1666.745,12.07,
,H1110101,黃豆胚芽,,zh-TW,豆類,100g,169.2144,16.63,223.5,771.25,1.73,
,H1120101,黃豆粉,,zh-TW,豆類,100g,400.9291,37.36,562.56,1646.9,1.89,
,H1120102,黃豆粉(有機),,zh-TW,豆類,100g,434.3999,41.96,575.74,1919.8,1.77,
,H1150201,豆漿(無糖),,zh-TW,豆類,100g,34.987,3.637,68.001,141.425,2.223,
,H1200101,豌豆仁,,zh-TW,豆類,100g,123.3651,9.2025,147.18,371.82,3.225,
,H1200201,豌豆莢,,zh-TW,豆類,100g,40.6139,2.945,54.5389,154.1578,3.711,
,H1200301,高山大豌豆莢,,zh-TW,豆類,100g,48.5462,2.37,39.7422,241.7933,0.3756,
,H1200401,甜豌豆莢,,zh-TW,豆類,100g,42.3477,3.0444,59.3305,172.8554,1.9558,
,H1200501,冷凍豌豆仁,,zh-TW,豆類,100g,95.9772,6.0905,94.4089,225.0383,21.44,
,H1300101,鵲豆莢,,zh-TW,豆類,100g,31.2651,2.4115,40.3912,210.1064,1.7747,
,H1505101,紅扁豆仁,,zh-TW,豆類,100g,342.7899,25.26,270.488,827.96,1.087,
,H1600101,鷹嘴豆,,zh-TW,豆類,100g,363.965,19.359,345.6936,1095.6297,7.9961,
,H1700101,樹豆(白),,zh-TW,豆類,100g,325.3997,22.1,364.39,1429.55,7.79,
,H1800101,翼豆,,zh-TW,豆類,100g,30.6793,2.469,40.51,175.84,2.14,
,H2000101,天貝(黃豆),,zh-TW,豆類,100g,187.1593,23.561,243.02,424.791,2.64,
,00I01001,牛小排平均值,,zh-TW,肉類,100g,324.9894,15.1305,140.7588,253.7815,60.497,
,I0100101,去骨牛小排,,zh-TW,肉類,100g,289.8278,17.1365,150.0275,319.733,59.469,
,I0100102,帶骨牛小排,,zh-TW,肉類,100g,360.1509,13.1245,131.49,187.83,61.525,
,I0100103,無骨牛小排(美牛),,zh-TW,肉類,100g,335.1406,15.568,110.85,217.56,52.76,
,I0100201,牛肋條,,zh-TW,肉類,100g,225.2573,18.638,126.81,346.79,81.3,
,I0100202,牛肋條(2021年取樣),,zh-TW,肉類,100g,358.0875,15.733,119.07,242.0,39.38,
,I0100301,沙朗牛排,,zh-TW,肉類,100g,162.0033,20.432,191.4213,369.9873,45.7847,
,I0102101,板腱 ,,zh-TW,肉類,100g,166.2639,19.8345,165.2765,302.393,70.0115,
,I0102201,牛去骨肩胛小排,,zh-TW,肉類,100g,233.4662,16.906,123.3,342.15,53.13,
,I0104101,牛前胸肉,,zh-TW,肉類,100g,330.5963,14.79,176.5,212.99,57.81,
,I0104201,牛修清前胸肉,,zh-TW,肉類,100g,120.4818,22.28,175.39,462.84,44.68,
,I0106101,去骨紐約克牛排,,zh-TW,肉類,100g,199.5807,21.33,198.75,411.115,49.29,
,I0106201,腓力牛排,,zh-TW,肉類,100g,184.2284,20.6265,160.635,366.415,46.86,
,I0108101,牛後腿肉,,zh-TW,肉類,100g,121.9141,19.439,202.678,357.444,58.3605,
,I0108201,牛後腿股肉,,zh-TW,肉類,100g,152.7283,20.6,227.96,338.98,48.37,
,I0108301,牛後腿腱子心,,zh-TW,肉類,100g,139.1623,19.8387,184.1067,298.3933,79.1733,
,I0108302,牛後腿腱子心(2022年取樣),,zh-TW,肉類,100g,151.081,23.713,169.62,312.58,63.32,
,00I01101,牛肉火鍋片平均值,,zh-TW,肉類,100g,250.3303,19.0555,140.9545,273.2104,47.5924,
,I0110101,牛五花肉火鍋片,,zh-TW,肉類,100g,430.3055,15.747,91.27,174.284,44.536,
,I0110102,牛紐約客火鍋片,,zh-TW,肉類,100g,262.6682,20.128,148.568,293.122,33.713,
,I0110103,牛梅花肉火鍋片,,zh-TW,肉類,100g,119.9585,20.3,173.212,339.6275,56.5055,
,I0110104,牛嫩肩里肌火鍋片,,zh-TW,肉類,100g,188.389,20.047,150.768,285.808,55.615,
,00I01201,牛肚平均值,,zh-TW,肉類,100g,55.7672,11.402,34.065,2.37,82.195,
,I0120101,牛肚(瘤胃),,zh-TW,肉類,100g,44.3055,7.482,22.57,2.62,113.1,
,I0120102,牛肚切片(瘤胃),,zh-TW,肉類,100g,67.2289,15.322,45.56,2.12,51.29,
,I0120201,牛肚(蜂巢胃),,zh-TW,肉類,100g,106.655,18.9595,69.182,70.4875,103.404,
,I0120301,牛筋,,zh-TW,肉類,100g,157.3122,21.694,30.848,351.877,50.349,
,I0200101,山羊帶皮羊肉塊,,zh-TW,肉類,100g,164.3677,20.258,131.66,230.898,80.764,
,I0200201,山羊前腿肉片,,zh-TW,肉類,100g,122.521,21.3,168.0,324.0,60.0,
,I0200301,山羊後腿肉火鍋片,,zh-TW,肉類,100g,170.3569,18.883,170.6725,280.3605,98.9395,
,I0210101,綿羊肉切片,,zh-TW,肉類,100g,197.536,18.8,117.0,327.0,73.0,
,I0210201,法式羊排,,zh-TW,肉類,100g,260.1895,18.76,134.125,259.94,68.235,
,I0210301,去骨肩頸眼羊肉,,zh-TW,肉類,100g,198.0608,17.835,157.493,349.108,57.357,
,I0210401,小羊腰脊肉,,zh-TW,肉類,100g,142.9707,26.477,196.618,322.358,54.467,
,I0210501,綿羊腹脅肉火鍋片,,zh-TW,肉類,100g,252.4413,16.941,153.387,243.937,76.374,
,I0300101,豬下肩肉,,zh-TW,肉類,100g,200.0084,18.101,198.465,337.99,54.29,
,I0300201,豬下肩瘦肉,,zh-TW,肉類,100g,131.1941,20.0675,205.7,352.4,52.575,
,I0300301,豬上肩肉,,zh-TW,肉類,100g,206.9863,18.8845,137.2205,354.8835,51.732,
,I0300401,豬肩胛肉,,zh-TW,肉類,100g,294.6727,16.5457,156.257,287.997,52.7137,
,I0300501,豬肩胛排,,zh-TW,肉類,100g,191.4284,17.94,166.25,294.36,97.02,
,I0300502,豬肩胛排(2021年取樣),,zh-TW,肉類,100g,244.3685,17.76,164.39,313.4,63.75,
,I0300601,豬前腿外腱肉,,zh-TW,肉類,100g,146.482,20.6695,193.3315,315.828,71.0995,
,I0302101,豬後腿外腱肉,,zh-TW,肉類,100g,184.0185,19.011,171.61,342.46,66.37,
,I0302201,豬後腿肉,,zh-TW,肉類,100g,122.7674,20.386,190.1,367.495,48.51,
,I0302301,豬後腿瘦肉,,zh-TW,肉類,100g,120.4244,21.0705,211.56,406.43,41.125,
,I0304101,豬大里肌,,zh-TW,肉類,100g,211.7235,19.2457,127.989,340.0867,40.097,
,I0304201,豬大排,,zh-TW,肉類,100g,214.151,19.1,204.0,318.0,55.0,
,I0304301,豬小排,,zh-TW,肉類,100g,287.4227,18.0063,160.7557,254.0777,74.3743,
,I0304401,僧帽肌,,zh-TW,肉類,100g,208.6355,20.388,189.919,344.075,48.212,
,I0306101,豬小里肌,,zh-TW,肉類,100g,139.2907,21.1225,200.9105,386.317,45.7805,
,I0308101,豬去皮腹脇肉,,zh-TW,肉類,100g,359.9549,14.9033,132.301,262.4607,43.668,
,I0308201,豬帶皮腹脇肉,,zh-TW,肉類,100g,368.157,14.54,121.0685,239.7285,62.2725,
,I0308301,豬腹脇排,,zh-TW,肉類,100g,266.8645,18.744,181.707,323.922,66.572,
,I0310101,豬肝連,,zh-TW,肉類,100g,219.8831,14.583,211.99,270.435,42.65,
,I0310201,豬頰肉,,zh-TW,肉類,100g,182.1935,17.52,208.595,278.775,64.9,
,I0310202,豬頰肉(2022年取樣),,zh-TW,肉類,100g,156.98,18.944,171.32,331.49,66.62,
,I0310301,豬頸肉,,zh-TW,肉類,100g,283.7689,17.237,130.266,215.388,43.289,
,00I03104,豬絞肉平均值,,zh-TW,肉類,100g,211.6482,18.738,207.465,315.546,58.24,
,I0310401,豬絞肉(70％瘦肉率),,zh-TW,肉類,100g,217.8718,18.972,210.211,276.489,55.808,
,I0310402,豬絞肉(90％瘦肉率),,zh-TW,肉類,100g,205.4247,18.504,204.719,354.603,60.672,
,I0320101,豬心,,zh-TW,肉類,100g,128.0034,13.5745,145.055,198.715,73.63,
,I0320201,豬白管,,zh-TW,肉類,100g,92.5513,14.136,14.835,1.52,67.864,
,I0320301,豬皮,,zh-TW,肉類,100g,490.9051,22.119,29.105,37.9,108.935,
,I0320401,豬耳,,zh-TW,肉類,100g,218.9035,24.163,79.05,41.83,175.36,
,I0320501,豬舌,,zh-TW,肉類,100g,185.0689,18.468,166.11,211.435,119.205,
,I0320601,豬血,,zh-TW,肉類,100g,29.387,6.3017,69.726,29.861,178.6507,
,I0320701,豬尾,,zh-TW,肉類,100g,294.8934,16.188,97.24,60.74,92.4,
,I0320801,豬肝,,zh-TW,肉類,100g,136.5323,20.813,327.89,297.175,83.89,
,I0321101,豬肚,,zh-TW,肉類,100g,151.9585,12.446,99.59,105.22,61.795,
,I0321201,熟豬肚,,zh-TW,肉類,100g,136.5491,16.03,86.7,27.58,29.68,
,I0321301,豬油渣,,zh-TW,肉類,100g,836.8553,17.388,83.51,117.31,152.84,
,00I03214,豬骨湯平均值,,zh-TW,肉類,100g,7.9266,0.948,6.3733,24.8,14.98,
,I0321401,豬大骨湯,,zh-TW,肉類,100g,7.0102,1.008,4.53,16.6,23.31,
,I0321402,豬肋骨湯,,zh-TW,肉類,100g,8.7319,0.693,5.62,20.82,5.75,
,I0321403,豬肩骨湯,,zh-TW,肉類,100g,8.0376,1.143,8.97,36.98,15.88,
,I0321501,豬軟骨,,zh-TW,肉類,100g,331.9995,15.648,128.47,205.92,89.88,
,I0321601,豬腎,,zh-TW,肉類,100g,81.5053,15.0215,139.07,213.005,101.69,
,I0321701,豬脾臟,,zh-TW,肉類,100g,78.8247,15.038,193.37,322.91,51.07,
,I0321801,豬大腸,,zh-TW,肉類,100g,198.2199,6.592,56.725,17.485,44.72,
,I0321901,豬小腸,,zh-TW,肉類,100g,155.9844,12.4805,83.395,42.035,29.725,
,I0322001,豬空腸,,zh-TW,肉類,100g,185.6239,10.905,150.49,179.673,83.9395,
,I0322101,豬前腳,,zh-TW,肉類,100g,252.0291,21.887,100.19,123.625,114.185,
,I0322201,豬後腳,,zh-TW,肉類,100g,252.9301,19.542,114.41,191.17,69.2,
,I0322301,豬蹄膀,,zh-TW,肉類,100g,330.989,17.1,84.0,184.0,50.0,
,I0322501,豬腳筋,,zh-TW,肉類,100g,71.5662,14.377,3.913,0.207,44.34,
,I0322601,豬腦,,zh-TW,肉類,100g,124.59,10.8,329.0,294.0,120.0,
,I0400101,土雞,,zh-TW,肉類,100g,196.0191,18.983,192.91,116.24,70.02,
,I0400201,肉雞,,zh-TW,肉類,100g,248.1543,16.121,72.23,227.53,44.1,
